kepid,kepoi_name,koi_disposition,koi_prad,koi_teq,koi_insol,koi_period,koi_duration,koi_depth,koi_steff,koi_slogg,koi_srad,ra,dec,koi_fpflag_nt,koi_fpflag_ss,koi_fpflag_co,koi_fpflag_ec
5467126,K05171.01,FALSE POSITIVE,402.16,3058.0,20649.68,2.845736321,11.5703,3127.0,4878.0,2.745,10.154,296.6781,40.649029,0,1,1,1
6511182,K05288.01,CANDIDATE,1.9,527.0,18.23,29.5632952,1.562,532.8,5595.0,4.562,0.828,288.12735,41.952801,0,0,0,0
6517064,K05289.01,CANDIDATE,2.04,324.0,2.6,181.81214,16.164,474.6,6060.0,4.509,0.925,290.15829,41.98978,0,0,0,0
6517200,K05290.01,CANDIDATE,2.06,225.0,0.61,435.50635,34.16,553.8,5750.0,4.538,0.882,290.20068,41.946289,0,0,0,0
6517255,K05291.01,CANDIDATE,12.74,359.0,3.92,525.560452,2.327,1196.0,4954.0,3.408,3.796,290.21606,41.954571,0,0,0,0
6525196,K05293.01,FALSE POSITIVE,57.97,1638.0,1700.05,1.710299164,3.92227,157270.0,6082.0,4.385,1.006,292.71802,41.922459,0,1,0,0
6525398,K05294.01,FALSE POSITIVE,2.49,196.0,0.35,252.04444,5.13,1502.0,4514.0,4.621,0.664,292.79022,41.948639,1,0,0,0
1164301,K04921.01,CANDIDATE,28.41,1046.0,283.07,95.688682,6.465,453.8,5040.0,2.681,13.056,291.69196,36.881409,0,0,0,0
1297263,K04922.01,FALSE POSITIVE,3.09,493.0,13.99,153.521361,3.893,255.2,6233.0,3.951,1.921,291.94852,36.95208,1,0,0,0
1429589,K04923.01,CANDIDATE,1.4,696.0,55.36,38.168652,5.086,90.6,6164.0,4.117,1.465,290.75626,37.089809,0,0,0,0
1572948,K04924.01,FALSE POSITIVE,4.7,1827.0,2630.88,3.0031801,2.814,374.7,6606.0,4.071,1.768,291.32748,37.126701,0,0,1,0
1725193,K04925.01,FALSE POSITIVE,43.7,1406.0,925.63,2.96384168,5.4768,35653.0,6095.0,4.371,1.158,292.29431,37.26173,0,1,0,0
1865864,K04926.01,CANDIDATE,1.47,332.0,2.87,69.089357,6.207,475.1,4848.0,4.581,0.698,290.87305,37.362179,0,0,0,0
1870398,K04927.01,FALSE POSITIVE,37.88,706.0,58.68,43.142257,61.73,283.2,6198.0,4.069,1.769,291.91556,37.322578,0,1,0,0
1873513,K04928.01,CONFIRMED,4.91,540.0,20.06,3.290304098,1.7215,13553.0,3386.0,4.81,0.427,292.57986,37.376411,0,0,0,0
4164511,K05046.01,CANDIDATE,1.44,657.0,43.98,40.9882124,3.599,145.8,6705.0,4.328,1.174,293.24701,39.236691,0,0,0,0
4179201,K05047.01,FALSE POSITIVE,2.83,287.0,1.61,326.70552,3.36,794.0,6036.0,4.337,0.998,296.32437,39.292881,1,0,0,0
4241238,K05048.01,CANDIDATE,6.28,488.0,13.45,138.333748,2.391,603.6,4948.0,3.588,2.547,284.63876,39.355179,0,0,0,0
4242806,K05049.01,FALSE POSITIVE,1.27,164.0,0.17,343.49816,7.46,431.0,4256.0,4.635,0.624,285.18643,39.357288,1,0,1,0
4245861,K05050.01,FALSE POSITIVE,1.24,667.0,46.86,11.2582311,16.89,300.4,5242.0,4.556,0.722,286.37234,39.3423,0,0,1,1
4253860,K05052.01,FALSE POSITIVE,444.08,1101.0,347.12,155.046089,10.205,2238.0,6513.0,2.782,12.613,289.23367,39.38652,0,1,0,0
4274816,K05053.01,FALSE POSITIVE,0.98,795.0,94.33,14.3641542,2.629,89.2,5925.0,4.364,1.033,294.57065,39.331402,1,0,0,0
5470851,K05172.01,FALSE POSITIVE,1.14,768.0,82.45,12.4276185,18.56,147.0,5869.0,4.513,0.942,297.51108,40.61908,1,0,1,1
5471108,K05173.01,FALSE POSITIVE,0.82,870.0,135.77,12.427076,17.447,47.5,5841.0,4.278,1.193,297.56931,40.619637,1,0,0,1
5524229,K05174.01,CANDIDATE,6.04,1183.0,463.56,22.4932751,3.172,152.0,5186.0,3.273,4.98,288.87198,40.767059,0,0,0,0
5525484,K05175.01,FALSE POSITIVE,19.71,565.0,24.01,315.502534,3.112,689.2,4970.0,2.989,7.752,289.29504,40.71674,1,0,0,0
5529385,K05176.01,CANDIDATE,1.26,292.0,1.72,215.732414,1.915,208.2,5790.0,4.479,0.856,290.43491,40.777241,0,0,0,0
5551240,K05178.01,CONFIRMED,1.24,1352.0,789.48,4.13960513,3.31,106.7,6535.0,4.373,1.181,296.50043,40.72123,0,0,0,0
6527229,K05296.01,FALSE POSITIVE,48.77,303.0,2.0,200.79976002,7.6419,92642.0,5896.0,4.518,0.916,293.33401,41.937321,0,1,0,0
6543192,K05297.01,CANDIDATE,0.8,811.0,102.43,8.0906952,2.648,82.4,5374.0,4.495,0.902,297.42578,41.932991,0,0,0,0
6543674,K05298.01,FALSE POSITIVE,156.91,2640.0,11494.67,1.195515364,6.08509,396400.0,6047.0,3.789,2.264,297.54156,41.950901,0,1,0,1
6548429,K05299.01,FALSE POSITIVE,2.04,293.0,1.75,210.971635,3.578,519.0,5838.0,4.529,0.897,298.53922,41.986961,1,0,0,0
6594945,K05300.01,CANDIDATE,2.46,468.0,11.36,188.954072,14.17,166.5,6392.0,3.967,1.899,288.28122,42.072079,0,0,0,0
6599305,K05301.01,FALSE POSITIVE,1.5,561.0,23.47,42.02646,2.553,190.0,6158.0,4.431,1.016,289.72461,42.00605,1,0,0,0
6600515,K05302.01,FALSE POSITIVE,2.7,271.0,1.28,372.04697,14.29,673.4,6173.0,4.447,1.041,290.08987,42.076111,1,0,0,0
6608090,K05303.01,FALSE POSITIVE,1.36,202.0,0.39,438.81524,6.75,332.8,5324.0,4.551,0.755,292.41116,42.039478,1,0,0,0
2010607,K04929.01,FALSE POSITIVE,20.83,1101.0,347.32,18.622214,4.42,5832.0,6235.0,3.801,2.471,290.50565,37.459011,1,0,0,0
2015013,K04930.01,FALSE POSITIVE,2.1,807.0,100.41,27.8923345,2.204,139.6,5873.0,3.96,1.78,291.55548,37.44516,0,0,1,0
2019199,K04931.01,CANDIDATE,2.71,218.0,0.53,579.81521,5.43,607.0,5822.0,4.449,0.969,292.48621,37.404339,0,0,0,0
2163226,K04933.01,FALSE POSITIVE,2.08,254.0,0.99,452.10093,12.69,464.0,6276.0,4.456,0.956,292.10245,37.56691,1,0,0,0
2165352,K04934.01,FALSE POSITIVE,17.97,1503.0,1201.17,0.7906069,3.3996,689.2,4994.0,4.62,0.72,292.54315,37.555759,1,0,1,0
2305255,K04935.01,FALSE POSITIVE,3.04,637.0,39.0,24.5714867,29.96,506.4,5977.0,4.462,0.956,291.96451,37.60878,1,0,0,0
2305543,K04936.01,FALSE POSITIVE,45.75,2025.0,3995.23,0.681137796,2.7287,105190.0,5872.0,4.474,0.864,292.02686,37.600651,0,1,0,0
4276114,K05054.01,FALSE POSITIVE,144.2,1082.0,323.4,3.722404453,2.5214,55368.0,5747.0,4.542,0.799,294.85513,39.30534,0,1,0,0
4281023,K05055.01,FALSE POSITIVE,10.13,522.0,17.57,230.385488,3.134,568.1,5024.0,3.241,4.331,295.87695,39.336391,1,0,0,0
4346339,K05057.01,CANDIDATE,7.15,358.0,3.9,493.74242,5.685,506.1,5015.0,3.429,3.243,285.34329,39.413849,0,0,0,0
4365461,K05058.01,FALSE POSITIVE,116.92,2042.0,4099.19,1.714414962,5.17207,110130.0,6351.0,4.126,1.613,291.69095,39.425442,0,1,0,0
4366923,K05059.01,FALSE POSITIVE,43.47,304.0,2.03,646.28789332,5.39144,58605.0,6582.0,4.069,1.777,292.11526,39.49855,0,1,0,0
4449752,K05060.01,FALSE POSITIVE,1.11,235.0,0.72,290.438547,12.85,212.9,5392.0,4.557,0.775,286.85861,39.592579,1,0,0,0
4455763,K05061.01,FALSE POSITIVE,15.64,2163.0,5154.54,0.766298172,1.78462,19401.0,6267.0,4.431,0.996,289.07651,39.570438,0,1,0,0
5563057,K05179.01,FALSE POSITIVE,0.84,2808.0,14709.49,1.049468616,4.848,22.0,7479.0,4.162,1.667,298.91757,40.716961,0,1,0,0
5565261,K05180.01,FALSE POSITIVE,89.55,2104.0,4625.06,2.362348096,3.5979,724.7,5088.0,3.502,3.293,299.33298,40.714352,0,1,1,0
5602409,K05181.01,FALSE POSITIVE,17.22,764.0,80.57,136.830243,2.956,464.3,5096.0,3.007,8.038,285.63928,40.84763,1,0,0,0
5603270,K05182.01,FALSE POSITIVE,1.96,583.0,27.31,103.284757,1.674,78.4,6185.0,3.878,2.101,286.04263,40.860291,1,0,0,0
5612111,K05183.01,FALSE POSITIVE,1.69,592.0,29.08,36.1904638,1.919,263.3,6210.0,4.45,1.033,289.39359,40.896339,1,0,0,0
5616628,K05184.01,FALSE POSITIVE,2.82,257.0,1.03,419.75224,4.154,754.0,6137.0,4.457,1.016,290.76614,40.881691,1,0,0,0
5623137,K05185.01,FALSE POSITIVE,1.53,266.0,1.18,419.95929,13.86,196.2,5953.0,4.314,1.068,292.76889,40.816181,1,0,0,0
6611779,K05304.01,FALSE POSITIVE,2.36,361.0,4.01,206.309658,1.498,277.1,6028.0,4.241,1.267,293.47052,42.0965,1,0,0,0
6612411,K05305.01,FALSE POSITIVE,4.92,1511.0,1233.13,8.46184728,35.525,411.2,7663.0,4.087,1.913,293.64468,42.033489,1,0,0,0
6612973,K05306.01,FALSE POSITIVE,1.69,274.0,1.33,681.01756,8.74,133.9,6295.0,4.091,1.435,293.80481,42.026001,1,0,0,0
6615600,K05307.01,FALSE POSITIVE,1.32,1324.0,725.21,2.19509634,1.796,227.7,5799.0,4.539,0.878,294.51157,42.090149,0,0,1,0
6634112,K05308.01,CANDIDATE,22.15,740.0,70.93,9.942228056,2.45451,31068.0,5268.0,4.475,0.843,298.64252,42.092831,0,0,0,0
6675757,K05310.01,CANDIDATE,1.13,632.0,37.67,22.2903562,1.623,130.4,5597.0,4.418,1.0,286.52942,42.167511,0,0,0,0
6677415,K05311.01,FALSE POSITIVE,1.64,325.0,2.64,73.9239955,1.699,634.0,5040.0,4.652,0.658,287.21124,42.107719,1,0,0,0
2309910,K04937.01,FALSE POSITIVE,25.26,1628.0,1655.74,1.8437362,21.04,341.1,6032.0,4.358,1.114,292.97159,37.65733,1,0,1,0
2310993,K04938.01,CANDIDATE,2.37,531.0,18.79,55.180772,9.791,474.6,6306.0,4.426,1.076,293.22018,37.610699,0,0,0,0
2437209,K04939.01,FALSE POSITIVE,56.94,507.0,15.57,281.36926,66.892,12435.0,4818.0,3.125,5.303,290.20993,37.725979,0,1,0,0
2437653,K04940.01,CANDIDATE,1.72,271.0,1.27,84.6405853,2.657,784.0,4386.0,4.629,0.63,290.24103,37.785221,0,0,0,0
2438406,K04941.01,FALSE POSITIVE,3.69,272.0,1.29,262.71162,7.72,1449.0,5398.0,4.375,0.99,290.31512,37.742451,1,0,0,0
2452289,K04942.01,FALSE POSITIVE,1.88,1852.0,2779.94,6.0353643,9.211,47.2,7377.0,3.876,2.552,293.41391,37.799492,0,0,1,0
2555080,K04943.01,CANDIDATE,113.97,2955.0,18026.22,15.2024426,8.11,834.0,3984.0,1.461,41.367,286.0947,37.846722,0,0,0,0
2569488,K04944.01,FALSE POSITIVE,22.88,3461.0,33813.44,1.52327807,3.813,924.2,4477.0,2.633,7.912,290.17807,37.852039,0,0,1,1
4464689,K05063.01,FALSE POSITIVE,3.11,350.0,3.53,574.37064,11.89,227.6,6749.0,3.905,1.905,291.68643,39.510571,1,0,0,0
4469825,K05064.01,FALSE POSITIVE,1.81,334.0,2.95,253.87706,11.18,265.6,6553.0,4.41,1.086,293.1196,39.562302,1,0,0,0
4470888,K05065.01,FALSE POSITIVE,17.45,240.0,0.78,523.36921,1.007,9918.0,6397.0,4.508,0.913,293.40259,39.567131,1,0,0,0
4471313,K05066.01,CANDIDATE,2.4,322.0,2.54,110.089267,1.575,1018.0,5465.0,4.6,0.75,293.51175,39.528271,0,0,0,0
