kepid,kepoi_name,koi_disposition,koi_prad,koi_teq,koi_insol,koi_period,koi_duration,koi_depth,koi_steff,koi_slogg,koi_srad,ra,dec,koi_fpflag_nt,koi_fpflag_ss,koi_fpflag_co,koi_fpflag_ec,generic_day_length,generic_day_length_hours,hours_of_sunlight_per_year,radius_similarity,temp_similarity,insolation_similarity,period_similarity,star_type_score,estimated_mass,mass_kg,radius_m,escape_velocity,escape_velocity_similarity,habitability_score,is_habitable
8424002,K03497.01,CONFIRMED,0.8,276.0,1.38,20.35971899,2.1521,345.7,3419.0,4.904,0.344,289.27451,44.470322,0,0,0,0,0.0557418726625598,488.63325576000005,89236.64833317001,0.9757604800923249,0.9946378764779081,0.9644085449668583,0.9679119338620612,0.9264848724790692,0.4379584921563907,2.6154881151579654e+24,5096800.0,8.276475600853455,0.9733735907601252,96.68753775253711,1
8294683,K05499.01,CANDIDATE,1.19,279.0,1.43,122.58481,22.37,318.9,5003.0,4.602,0.669,290.01547,44.205582,0,0,0,0,0.3356189185489391,2942.03544,537289.2222300001,0.9812704601307245,0.9960079043480495,0.960240329458344,0.9910796021185642,0.9815765298737517,1.9033723546493149,1.1366939701965709e+25,7581490.0,14.146934883274396,0.9794972416244427,98.15472911332431,1
